"from","to","weight"
"Peng_Sun","Yu_Zhang",1
"Peng_Sun","Kun_Gai",1
"Haoyu_Liu","Pengtao_Yi",1
"Haoyu_Liu","Sui_Huang",1
"Haoyu_Liu","Zhiqiang_Zhang_0011",1
"Haoyu_Liu","Xiaoqiang_Zhu",1
"Haoyu_Liu","Yu_Zhang",1
"Haoyu_Liu","Kun_Gai",1
"Pengtao_Yi","Sui_Huang",1
"Pengtao_Yi","Zhiqiang_Zhang_0011",1
"Pengtao_Yi","Xiaoqiang_Zhu",1
"Pengtao_Yi","Yu_Zhang",1
"Pengtao_Yi","Kun_Gai",1
"Sui_Huang","Zhiqiang_Zhang_0011",1
"Sui_Huang","Xiaoqiang_Zhu",1
"Sui_Huang","Yu_Zhang",1
"Sui_Huang","Kun_Gai",1
"Zhiqiang_Zhang_0011","Xiaoqiang_Zhu",1
"Zhiqiang_Zhang_0011","Yu_Zhang",1
"Zhiqiang_Zhang_0011","Kun_Gai",1
"Xiaoqiang_Zhu","Yu_Zhang",1
"Xiaoqiang_Zhu","Kun_Gai",2
"Yu_Zhang","Kun_Gai",1
"Nicola_Ferro_0001","Claudio_Lucchese",1
"Nicola_Ferro_0001","Maria_Maistro",1
"Nicola_Ferro_0001","Raffaele_Perego_0001",1
"Claudio_Lucchese","Maria_Maistro",1
"Claudio_Lucchese","Raffaele_Perego_0001",2
"Maria_Maistro","Raffaele_Perego_0001",1
"Hongtao_Wang_0002","Pan_Su",1
"Hongtao_Wang_0002","Miao_Zhao",1
"Hongtao_Wang_0002","Hongmei_Wang",1
"Hongtao_Wang_0002","Gang_Li",1
"Pan_Su","Miao_Zhao",1
"Pan_Su","Hongmei_Wang",1
"Pan_Su","Gang_Li",1
"Miao_Zhao","Hongmei_Wang",1
"Miao_Zhao","Gang_Li",1
"Hongmei_Wang","Gang_Li",1
"Mohammad_Aliannejadi","Hamed_Zamani",1
"Mohammad_Aliannejadi","Fabio_Crestani",1
"Mohammad_Aliannejadi","W._Bruce_Croft",1
"Hamed_Zamani","Fabio_Crestani",1
"Hamed_Zamani","W._Bruce_Croft",2
"Fabio_Crestani","W._Bruce_Croft",1
"Kan_Ren","Yuchen_Fang",1
"Kan_Ren","Weinan_Zhang_0001",1
"Kan_Ren","Shuhao_Liu",1
"Kan_Ren","Jiajun_Li",1
"Kan_Ren","Ya_Zhang",1
"Kan_Ren","Yong_Yu_0001",1
"Kan_Ren","Jun_Wang_0012",1
"Yuchen_Fang","Weinan_Zhang_0001",1
"Yuchen_Fang","Shuhao_Liu",1
"Yuchen_Fang","Jiajun_Li",1
"Yuchen_Fang","Ya_Zhang",1
"Yuchen_Fang","Yong_Yu_0001",1
"Yuchen_Fang","Jun_Wang_0012",1
"Weinan_Zhang_0001","Shuhao_Liu",1
"Weinan_Zhang_0001","Jiajun_Li",1
"Weinan_Zhang_0001","Ya_Zhang",1
"Weinan_Zhang_0001","Yong_Yu_0001",1
"Weinan_Zhang_0001","Jun_Wang_0012",2
"Shuhao_Liu","Jiajun_Li",1
"Shuhao_Liu","Ya_Zhang",1
"Shuhao_Liu","Yong_Yu_0001",1
"Shuhao_Liu","Jun_Wang_0012",1
"Jiajun_Li","Ya_Zhang",1
"Jiajun_Li","Yong_Yu_0001",1
"Jiajun_Li","Jun_Wang_0012",1
"Ya_Zhang","Yong_Yu_0001",1
"Ya_Zhang","Jun_Wang_0012",1
"Yong_Yu_0001","Jun_Wang_0012",1
"Chen_Ma","Yingxue_Zhang",1
"Chen_Ma","Qinglong_Wang",1
"Chen_Ma","Xue_Liu_0001",1
"Yingxue_Zhang","Qinglong_Wang",1
"Yingxue_Zhang","Xue_Liu_0001",1
"Qinglong_Wang","Xue_Liu_0001",1
"Zafar_Habeeb_Syed","Michael_Röder",1
"Zafar_Habeeb_Syed","Axel-Cyrille_Ngonga_Ngomo",1
"Michael_Röder","Axel-Cyrille_Ngonga_Ngomo",1
"Tadele_Tedla_Damessie","J._Shane_Culpepper",1
"Tadele_Tedla_Damessie","Jaewon_Kim",1
"Tadele_Tedla_Damessie","Falk_Scholer",1
"J._Shane_Culpepper","Jaewon_Kim",1
"J._Shane_Culpepper","Falk_Scholer",1
"Jaewon_Kim","Falk_Scholer",1
"Rohan_Ramanath","Hakan_Inan",1
"Rohan_Ramanath","Gungor_Polatkan",1
"Rohan_Ramanath","Bo_Hu",1
"Rohan_Ramanath","Qi_Guo",1
"Rohan_Ramanath","Cagri_Ozcaglar",1
"Rohan_Ramanath","Xianren_Wu",1
"Rohan_Ramanath","Krishnaram_Kenthapadi",1
"Rohan_Ramanath","Sahin_Cem_Geyik",1
"Hakan_Inan","Gungor_Polatkan",1
"Hakan_Inan","Bo_Hu",1
"Hakan_Inan","Qi_Guo",1
"Hakan_Inan","Cagri_Ozcaglar",1
"Hakan_Inan","Xianren_Wu",1
"Hakan_Inan","Krishnaram_Kenthapadi",1
"Hakan_Inan","Sahin_Cem_Geyik",1
"Gungor_Polatkan","Bo_Hu",1
"Gungor_Polatkan","Qi_Guo",1
"Gungor_Polatkan","Cagri_Ozcaglar",1
"Gungor_Polatkan","Xianren_Wu",1
"Gungor_Polatkan","Krishnaram_Kenthapadi",1
"Gungor_Polatkan","Sahin_Cem_Geyik",1
"Bo_Hu","Qi_Guo",1
"Bo_Hu","Cagri_Ozcaglar",1
"Bo_Hu","Xianren_Wu",1
"Bo_Hu","Krishnaram_Kenthapadi",1
"Bo_Hu","Sahin_Cem_Geyik",1
"Qi_Guo","Cagri_Ozcaglar",1
"Qi_Guo","Xianren_Wu",1
"Qi_Guo","Krishnaram_Kenthapadi",1
"Qi_Guo","Sahin_Cem_Geyik",1
"Cagri_Ozcaglar","Xianren_Wu",1
"Cagri_Ozcaglar","Krishnaram_Kenthapadi",1
"Cagri_Ozcaglar","Sahin_Cem_Geyik",1
"Xianren_Wu","Krishnaram_Kenthapadi",1
"Xianren_Wu","Sahin_Cem_Geyik",1
"Krishnaram_Kenthapadi","Sahin_Cem_Geyik",1
"Harrie_Oosterhuis","Maarten_de_Rijke",1
"Ardavan_Afshar","Ioakeim_Perros",1
"Ardavan_Afshar","Evangelos_E._Papalexakis",1
"Ardavan_Afshar","Elizabeth_Searles",1
"Ardavan_Afshar","Joyce_C._Ho",1
"Ardavan_Afshar","Jimeng_Sun",1
"Ioakeim_Perros","Evangelos_E._Papalexakis",2
"Ioakeim_Perros","Elizabeth_Searles",1
"Ioakeim_Perros","Joyce_C._Ho",1
"Ioakeim_Perros","Jimeng_Sun",2
"Evangelos_E._Papalexakis","Elizabeth_Searles",1
