"from","to","weight"
"Senzhang_Wang","Hao_Miao",2
"Senzhang_Wang","Hao_Chen",2
"Senzhang_Wang","Zhiqiu_Huang",1
"Hao_Miao","Hao_Chen",1
"Hao_Miao","Zhiqiu_Huang",1
"Hao_Chen","Zhiqiu_Huang",1
"Fabiola_Santore","Eduardo_Cunha_de_Almeida",1
"Fabiola_Santore","Wagner_Hugo_Bonat",1
"Fabiola_Santore","Eduardo_H._M._Pena",1
"Fabiola_Santore","Luiz_Eduardo_S._de_Oliveira",1
"Eduardo_Cunha_de_Almeida","Wagner_Hugo_Bonat",1
"Eduardo_Cunha_de_Almeida","Luiz_Eduardo_S._de_Oliveira",1
"Wagner_Hugo_Bonat","Eduardo_H._M._Pena",1
"Wagner_Hugo_Bonat","Luiz_Eduardo_S._de_Oliveira",1
"Eduardo_H._M._Pena","Luiz_Eduardo_S._de_Oliveira",1
"Wei_Shen_0005","Xiaonan_He",1
"Wei_Shen_0005","Chuheng_Zhang",1
"Wei_Shen_0005","Qiang_Ni",1
"Wei_Shen_0005","Wanchun_Dou",1
"Wei_Shen_0005","Yan_Wang",1
"Xiaonan_He","Chuheng_Zhang",1
"Xiaonan_He","Qiang_Ni",1
"Xiaonan_He","Wanchun_Dou",1
"Xiaonan_He","Yan_Wang",1
"Chuheng_Zhang","Qiang_Ni",1
"Chuheng_Zhang","Wanchun_Dou",1
"Chuheng_Zhang","Yan_Wang",1
"Qiang_Ni","Wanchun_Dou",1
"Qiang_Ni","Yan_Wang",1
"Wanchun_Dou","Yan_Wang",1
"Shanshan_Huang","Kenny_Q._Zhu",1
"Shanshan_Huang","Qianzi_Liao",1
"Shanshan_Huang","Libin_Shen",1
"Shanshan_Huang","Yinggong_Zhao",1
"Kenny_Q._Zhu","Qianzi_Liao",1
"Kenny_Q._Zhu","Libin_Shen",2
"Kenny_Q._Zhu","Yinggong_Zhao",2
"Qianzi_Liao","Libin_Shen",1
"Qianzi_Liao","Yinggong_Zhao",1
"Libin_Shen","Yinggong_Zhao",2
"Jose_F._Rodrigues","Jean_Louis_Pépin",1
"Jose_F._Rodrigues","Lorraine_Goeuriot",1
