"from","to","weight"
"Haolan_Chen","Di_Niu",2
"Haolan_Chen","Kunfeng_Lai",1
"Haolan_Chen","Yu_Xu",1
"Haolan_Chen","Masoud_Ardakani",1
"Di_Niu","Kunfeng_Lai",1
"Di_Niu","Yu_Xu",1
"Di_Niu","Masoud_Ardakani",1
"Kunfeng_Lai","Yu_Xu",1
"Kunfeng_Lai","Masoud_Ardakani",1
"Yu_Xu","Masoud_Ardakani",1
"Dimitrios_Rafailidis","Fabio_Crestani",1
"Myungha_Jang","John_Foley",1
"Myungha_Jang","Shiri_Dori-Hacohen",1
"Myungha_Jang","James_Allan",1
"John_Foley","Shiri_Dori-Hacohen",1
"John_Foley","James_Allan",2
"Shiri_Dori-Hacohen","James_Allan",1
"Tomasz_Kusmierczyk","Kjetil_Nørvåg",1
"Seong-Ping_Chuah","Huayu_Wu_0001",1
"Seong-Ping_Chuah","Yu_Lu_0003",1
"Seong-Ping_Chuah","Liang_Yu",1
"Seong-Ping_Chuah","Stéphane_Bressan",1
"Huayu_Wu_0001","Yu_Lu_0003",1
"Huayu_Wu_0001","Liang_Yu",1
"Huayu_Wu_0001","Stéphane_Bressan",2
"Yu_Lu_0003","Liang_Yu",1
"Yu_Lu_0003","Stéphane_Bressan",1
"Liang_Yu","Stéphane_Bressan",1
"Minwei_Feng","Bing_Xiang",1
"Minwei_Feng","Bowen_Zhou",1
"Bing_Xiang","Bowen_Zhou",1
"Ragunathan_Mariappan","Balaji_Peddamuthu",1
"Ragunathan_Mariappan","Preethi_R._Raajaratnam",1
"Ragunathan_Mariappan","Sandipan_Dandapat",1
"Ragunathan_Mariappan","Neeta_Pande",1
"Ragunathan_Mariappan","Shourya_Roy",1
"Balaji_Peddamuthu","Preethi_R._Raajaratnam",1
"Balaji_Peddamuthu","Sandipan_Dandapat",1
"Balaji_Peddamuthu","Neeta_Pande",1
"Balaji_Peddamuthu","Shourya_Roy",1
"Preethi_R._Raajaratnam","Sandipan_Dandapat",1
"Preethi_R._Raajaratnam","Neeta_Pande",1
"Preethi_R._Raajaratnam","Shourya_Roy",1
"Sandipan_Dandapat","Neeta_Pande",1
"Sandipan_Dandapat","Shourya_Roy",1
"Neeta_Pande","Shourya_Roy",1
"Lei_Shi_0002","Hanghang_Tong",1
"Lei_Shi_0002","Chaoli_Wang_0001",1
"Lei_Shi_0002","Leman_Akoglu",1
"Hanghang_Tong","Chaoli_Wang_0001",1
"Hanghang_Tong","Leman_Akoglu",1
"Chaoli_Wang_0001","Leman_Akoglu",1
"Dongwoo_Kim_0002","Lexing_Xie",1
"Dongwoo_Kim_0002","Cheng_Soon_Ong",1
"Lexing_Xie","Cheng_Soon_Ong",2
"Lei_Zhang_0034","Michael_Färber_0001",1
"Lei_Zhang_0034","Achim_Rettinger",1
"Michael_Färber_0001","Achim_Rettinger",1
"Sangwoo_Kim","Jake_Y._Chen",1
"Sangwoo_Kim","Vincenzo_Cutello",1
"Sangwoo_Kim","Doheon_Lee",1
"Jake_Y._Chen","Vincenzo_Cutello",1
"Jake_Y._Chen","Doheon_Lee",1
"Vincenzo_Cutello","Doheon_Lee",1
"Md._Saiful_Islam_0003","Chengfei_Liu",2
"Md._Saiful_Islam_0003","J._Wenny_Rahayu",1
"Md._Saiful_Islam_0003","Tarique_Anwar",2
"Chengfei_Liu","J._Wenny_Rahayu",1
"Chengfei_Liu","Tarique_Anwar",2
"J._Wenny_Rahayu","Tarique_Anwar",1
"Mostafa_Dehghani_0001","Hosein_Azarbonyad",1
"Mostafa_Dehghani_0001","Jaap_Kamps",2
"Mostafa_Dehghani_0001","Djoerd_Hiemstra",1
"Mostafa_Dehghani_0001","Maarten_Marx",1
"Hosein_Azarbonyad","Jaap_Kamps",1
"Hosein_Azarbonyad","Djoerd_Hiemstra",1
"Hosein_Azarbonyad","Maarten_Marx",1
"Jaap_Kamps","Djoerd_Hiemstra",1
"Jaap_Kamps","Maarten_Marx",1
"Djoerd_Hiemstra","Maarten_Marx",1
"Jarana_Manotumruksa","Craig_MacDonald",1
"Jarana_Manotumruksa","Iadh_Ounis",1
"Craig_MacDonald","Iadh_Ounis",2
"Wenjie_Ruan","Peipei_Xu",2
"Wenjie_Ruan","Quan_Z._Sheng",2
"Wenjie_Ruan","Nguyen_Khoi_Tran_0001",2
"Wenjie_Ruan","Nickolas_J._G._Falkner",2
"Wenjie_Ruan","Xue_Li_0001",2
"Wenjie_Ruan","Wei_Emma_Zhang",2
"Peipei_Xu","Nguyen_Khoi_Tran_0001",2
"Peipei_Xu","Nickolas_J._G._Falkner",2
"Peipei_Xu","Xue_Li_0001",2
"Peipei_Xu","Wei_Emma_Zhang",2
"Quan_Z._Sheng","Nguyen_Khoi_Tran_0001",2
"Quan_Z._Sheng","Nickolas_J._G._Falkner",2
"Quan_Z._Sheng","Xue_Li_0001",4
"Nguyen_Khoi_Tran_0001","Nickolas_J._G._Falkner",2
"Nguyen_Khoi_Tran_0001","Xue_Li_0001",2
"Nguyen_Khoi_Tran_0001","Wei_Emma_Zhang",2
"Nickolas_J._G._Falkner","Xue_Li_0001",2
"Nickolas_J._G._Falkner","Wei_Emma_Zhang",2
"Xue_Li_0001","Wei_Emma_Zhang",2
"Chengyu_Wang_0001","Rong_Zhang_0002",1
"Chengyu_Wang_0001","Xiaofeng_He",1
"Chengyu_Wang_0001","Aoying_Zhou",1
"Rong_Zhang_0002","Xiaofeng_He",1
"Rong_Zhang_0002","Aoying_Zhou",2
"Xiaofeng_He","Aoying_Zhou",1
"Cheng_Chen_0019","Fang_Dong",1
"Cheng_Chen_0019","Kui_Wu_0001",2
"Cheng_Chen_0019","Venkatesh_Srinivasan_0001",2
"Cheng_Chen_0019","Alex_Thomo",2
"Fang_Dong","Kui_Wu_0001",1
"Fang_Dong","Venkatesh_Srinivasan_0001",1
"Fang_Dong","Alex_Thomo",1
"Kui_Wu_0001","Alex_Thomo",2
"Venkatesh_Srinivasan_0001","Alex_Thomo",2
"Saar_Kuzi","Anna_Shtok",1
"Saar_Kuzi","Oren_Kurland",1
"Anna_Shtok","Oren_Kurland",2
"Jiangfeng_Zeng","Ke_Zhou_0001",1
"Jiangfeng_Zeng","Xiao_Ma",1
"Jiangfeng_Zeng","Fuhao_Zou",1
"Jiangfeng_Zeng","Hua_Wang_0008",1
"Ke_Zhou_0001","Xiao_Ma",1
"Ke_Zhou_0001","Fuhao_Zou",1
"Ke_Zhou_0001","Hua_Wang_0008",1
"Xiao_Ma","Fuhao_Zou",1
"Xiao_Ma","Hua_Wang_0008",1
"Fuhao_Zou","Hua_Wang_0008",1
"Yuli_Liu","Yiqun_Liu_0001",1
"Yuli_Liu","Ke_Zhou_0003",1
"Yuli_Liu","Min_Zhang_0006",1
"Yuli_Liu","Shaoping_Ma",1
"Yuli_Liu","Yue_Yin",1
"Yuli_Liu","Hengliang_Luo",1
"Yiqun_Liu_0001","Ke_Zhou_0003",1
"Yiqun_Liu_0001","Shaoping_Ma",2
"Yiqun_Liu_0001","Yue_Yin",1
"Yiqun_Liu_0001","Hengliang_Luo",1
"Ke_Zhou_0003","Min_Zhang_0006",1
"Ke_Zhou_0003","Shaoping_Ma",1
"Ke_Zhou_0003","Yue_Yin",1
"Ke_Zhou_0003","Hengliang_Luo",1
"Min_Zhang_0006","Shaoping_Ma",2
"Min_Zhang_0006","Yue_Yin",1
"Min_Zhang_0006","Hengliang_Luo",1
"Shaoping_Ma","Yue_Yin",1
"Shaoping_Ma","Hengliang_Luo",1
"Yue_Yin","Hengliang_Luo",1
"Yong-Yeon_Jo","Jiwon_Hong",1
"Yong-Yeon_Jo","Myung-Hwan_Jang",1
"Yong-Yeon_Jo","Jae-Geun_Bang",1
"Yong-Yeon_Jo","Sang-Wook_Kim",1
"Jiwon_Hong","Myung-Hwan_Jang",1
"Jiwon_Hong","Jae-Geun_Bang",1
"Jiwon_Hong","Sang-Wook_Kim",1
"Myung-Hwan_Jang","Jae-Geun_Bang",1
"Myung-Hwan_Jang","Sang-Wook_Kim",1
"Jae-Geun_Bang","Sang-Wook_Kim",1
"Niels_Dalum_Hansen","Christina_Lioma",1
"Niels_Dalum_Hansen","Kåre_Mølbak",1
"Christina_Lioma","Kåre_Mølbak",1
"Yuki_Yano","Yukihiro_Tagami",1
"Yuki_Yano","Akira_Tajima",1
"Yukihiro_Tagami","Akira_Tajima",1
"Kelsey_Suyehira","Francesca_Spezzano",1
"Zhongfang_Zhuang","Chuan_Lei",1
"Zhongfang_Zhuang","Elke_A._Rundensteiner",1
"Zhongfang_Zhuang","Mohamed_Y._Eltabakh",1
"Chuan_Lei","Elke_A._Rundensteiner",1
"Chuan_Lei","Mohamed_Y._Eltabakh",1
"Elke_A._Rundensteiner","Mohamed_Y._Eltabakh",1
"Wei_Wang_0064","Yue_Ning",1
"Wei_Wang_0064","Huzefa_Rangwala",1
"Wei_Wang_0064","Naren_Ramakrishnan",2
