"from","to","weight"
"Siteng_Huang","Donglin_Wang",2
"Siteng_Huang","Xuehan_Wu",1
"Siteng_Huang","Ao_Tang",1
"Donglin_Wang","Xuehan_Wu",1
"Donglin_Wang","Ao_Tang",2
"Xuehan_Wu","Ao_Tang",1
"Ioana_Giurgiu","Anika_Schumann",1
"Ye_Liu_0006","Chenwei_Zhang",1
"Ye_Liu_0006","Xiaohui_Yan",1
"Ye_Liu_0006","Yi_Chang_0001",1
"Ye_Liu_0006","Philip_S._Yu",1
"Chenwei_Zhang","Xiaohui_Yan",1
"Chenwei_Zhang","Yi_Chang_0001",1
"Chenwei_Zhang","Philip_S._Yu",1
"Xiaohui_Yan","Yi_Chang_0001",1
"Xiaohui_Yan","Philip_S._Yu",1
"Yi_Chang_0001","Philip_S._Yu",1
"Jing_Ma","Qiuchen_Zhang",1
"Jing_Ma","Jian_Lou_0001",1
"Jing_Ma","Joyce_C._Ho",1
"Jing_Ma","Li_Xiong_0001",1
"Jing_Ma","Xiaoqian_Jiang",1
"Qiuchen_Zhang","Jian_Lou_0001",1
"Qiuchen_Zhang","Joyce_C._Ho",1
"Qiuchen_Zhang","Li_Xiong_0001",1
"Qiuchen_Zhang","Xiaoqian_Jiang",1
"Jian_Lou_0001","Joyce_C._Ho",1
"Jian_Lou_0001","Li_Xiong_0001",1
"Jian_Lou_0001","Xiaoqian_Jiang",1
"Joyce_C._Ho","Li_Xiong_0001",1
"Joyce_C._Ho","Xiaoqian_Jiang",1
"Li_Xiong_0001","Xiaoqian_Jiang",1
"Florian_Adriaens","Çigdem_Aslay",1
"Florian_Adriaens","Tijl_De_Bie",1
"Florian_Adriaens","Aristides_Gionis",1
"Florian_Adriaens","Jefrey_Lijffijt",1
"Çigdem_Aslay","Tijl_De_Bie",1
"Çigdem_Aslay","Aristides_Gionis",1
"Çigdem_Aslay","Jefrey_Lijffijt",1
"Tijl_De_Bie","Aristides_Gionis",1
"Aristides_Gionis","Jefrey_Lijffijt",1
"Chen_Qu","Liu_Yang_0005",2
"Chen_Qu","Minghui_Qiu",2
"Chen_Qu","Yongfeng_Zhang",1
"Chen_Qu","Cen_Chen",1
"Chen_Qu","W._Bruce_Croft",2
"Chen_Qu","Mohit_Iyyer",1
"Liu_Yang_0005","Minghui_Qiu",2
"Liu_Yang_0005","Yongfeng_Zhang",1
"Liu_Yang_0005","Cen_Chen",1
"Liu_Yang_0005","W._Bruce_Croft",2
"Liu_Yang_0005","Mohit_Iyyer",1
"Minghui_Qiu","Yongfeng_Zhang",1
"Minghui_Qiu","W._Bruce_Croft",2
"Minghui_Qiu","Mohit_Iyyer",1
"Yongfeng_Zhang","Cen_Chen",1
"Yongfeng_Zhang","W._Bruce_Croft",2
"Yongfeng_Zhang","Mohit_Iyyer",1
"Cen_Chen","W._Bruce_Croft",1
"Cen_Chen","Mohit_Iyyer",1
"W._Bruce_Croft","Mohit_Iyyer",1
"Shihao_Zou","Zhonghua_Li",1
"Shihao_Zou","Mohammad_Akbari_0001",1
"Shihao_Zou","Jun_Wang_0012",1
