"from","to","weight"
"Guanyao_Li","Chun-Jie_Chen",2
"Guanyao_Li","Sheng-Yun_Huang",1
"Guanyao_Li","Ai-Jou_Chou",1
"Guanyao_Li","Xiaochuan_Gou",1
"Guanyao_Li","Wen-Chih_Peng",1
"Guanyao_Li","Chih-Wei_Yi",1
"Chun-Jie_Chen","Sheng-Yun_Huang",1
"Chun-Jie_Chen","Ai-Jou_Chou",1
"Chun-Jie_Chen","Xiaochuan_Gou",1
"Chun-Jie_Chen","Wen-Chih_Peng",1
"Chun-Jie_Chen","Chih-Wei_Yi",1
"Sheng-Yun_Huang","Ai-Jou_Chou",1
"Sheng-Yun_Huang","Xiaochuan_Gou",1
"Sheng-Yun_Huang","Wen-Chih_Peng",1
"Sheng-Yun_Huang","Chih-Wei_Yi",1
"Ai-Jou_Chou","Xiaochuan_Gou",1
"Ai-Jou_Chou","Wen-Chih_Peng",1
"Ai-Jou_Chou","Chih-Wei_Yi",1
"Xiaochuan_Gou","Wen-Chih_Peng",1
"Xiaochuan_Gou","Chih-Wei_Yi",1
"Wen-Chih_Peng","Chih-Wei_Yi",1
"Amir_Pouran_Ben_Veyseh","Javid_Ebrahimi",1
"Amir_Pouran_Ben_Veyseh","Dejing_Dou",1
"Amir_Pouran_Ben_Veyseh","Daniel_Lowd",1
"Javid_Ebrahimi","Dejing_Dou",1
"Javid_Ebrahimi","Daniel_Lowd",1
"Dejing_Dou","Daniel_Lowd",1
"Theodore_Vasiloudis","Foteini_Beligianni",1
"Theodore_Vasiloudis","Gianmarco_De_Francisci_Morales",1
"Foteini_Beligianni","Gianmarco_De_Francisci_Morales",1
"Shen_Liu","Hongyan_Liu",1
"Chenhao_Xie_0002","Lihan_Chen",1
"Chenhao_Xie_0002","Jiaqing_Liang",1
"Chenhao_Xie_0002","Kezun_Zhang",1
"Chenhao_Xie_0002","Yanghua_Xiao",1
"Chenhao_Xie_0002","Hanghang_Tong",1
"Chenhao_Xie_0002","Haixun_Wang",1
"Chenhao_Xie_0002","Wei_Wang_0009",1
"Lihan_Chen","Jiaqing_Liang",1
"Lihan_Chen","Kezun_Zhang",1
"Lihan_Chen","Yanghua_Xiao",1
"Lihan_Chen","Hanghang_Tong",1
"Lihan_Chen","Haixun_Wang",1
"Lihan_Chen","Wei_Wang_0009",1
"Jiaqing_Liang","Kezun_Zhang",1
"Jiaqing_Liang","Yanghua_Xiao",1
"Jiaqing_Liang","Hanghang_Tong",1
"Jiaqing_Liang","Haixun_Wang",1
"Jiaqing_Liang","Wei_Wang_0009",1
"Kezun_Zhang","Yanghua_Xiao",1
"Kezun_Zhang","Hanghang_Tong",1
"Kezun_Zhang","Haixun_Wang",1
"Kezun_Zhang","Wei_Wang_0009",1
"Yanghua_Xiao","Hanghang_Tong",1
"Yanghua_Xiao","Haixun_Wang",1
"Yanghua_Xiao","Wei_Wang_0009",1
"Hanghang_Tong","Haixun_Wang",1
"Hanghang_Tong","Wei_Wang_0009",1
"Haixun_Wang","Wei_Wang_0009",1
"Rupesh_Gupta","Guanfeng_Liang",1
"Rupesh_Gupta","Rómer_Rosales",1
"Guanfeng_Liang","Rómer_Rosales",1
"Quan_Yuan_0001","Jingbo_Shang",1
"Quan_Yuan_0001","Xin_Cao_0001",1
"Quan_Yuan_0001","Chao_Zhang_0014",5
"Quan_Yuan_0001","Xinhe_Geng",1
"Quan_Yuan_0001","Jiawei_Han_0001",5
"Jingbo_Shang","Xin_Cao_0001",1
"Jingbo_Shang","Chao_Zhang_0014",1
"Jingbo_Shang","Xinhe_Geng",1
"Jingbo_Shang","Jiawei_Han_0001",3
"Xin_Cao_0001","Chao_Zhang_0014",1
"Xin_Cao_0001","Xinhe_Geng",1
"Xin_Cao_0001","Jiawei_Han_0001",1
"Chao_Zhang_0014","Xinhe_Geng",1
"Chao_Zhang_0014","Jiawei_Han_0001",6
"Xinhe_Geng","Jiawei_Han_0001",1
"Zhe_Chen","Sasha_Dadiomov",1
"Zhe_Chen","Richard_Wesley",1
"Zhe_Chen","Gang_Xiao",1
"Zhe_Chen","Daniel_Cory",1
"Zhe_Chen","Michael_J._Cafarella",1
"Zhe_Chen","Jock_D._Mackinlay",1
"Sasha_Dadiomov","Richard_Wesley",1
"Sasha_Dadiomov","Gang_Xiao",1
"Sasha_Dadiomov","Daniel_Cory",1
"Sasha_Dadiomov","Michael_J._Cafarella",1
"Sasha_Dadiomov","Jock_D._Mackinlay",1
"Richard_Wesley","Gang_Xiao",1
"Richard_Wesley","Daniel_Cory",1
"Richard_Wesley","Michael_J._Cafarella",1
"Richard_Wesley","Jock_D._Mackinlay",1
"Gang_Xiao","Daniel_Cory",1
"Gang_Xiao","Michael_J._Cafarella",1
"Gang_Xiao","Jock_D._Mackinlay",1
"Daniel_Cory","Michael_J._Cafarella",1
"Daniel_Cory","Jock_D._Mackinlay",1
"Michael_J._Cafarella","Jock_D._Mackinlay",1
"Sridevi_Baskaran","Alexander_Keller_0003",1
"Sridevi_Baskaran","Fei_Chiang",1
"Sridevi_Baskaran","Lukasz_Golab",1
"Sridevi_Baskaran","Jaroslaw_Szlichta",1
"Alexander_Keller_0003","Fei_Chiang",1
"Alexander_Keller_0003","Lukasz_Golab",1
"Alexander_Keller_0003","Jaroslaw_Szlichta",1
"Fei_Chiang","Lukasz_Golab",1
"Fei_Chiang","Jaroslaw_Szlichta",1
"Lukasz_Golab","Jaroslaw_Szlichta",1
"Baichuan_Zhang","Mohammad_Al_Hasan",1
"Hoang_Dung_Vu","Kok-Soon_Chai",1
"Hoang_Dung_Vu","Bryan_Keating",1
"Hoang_Dung_Vu","Nurislam_Tursynbek",1
"Hoang_Dung_Vu","Boyan_Xu",1
"Hoang_Dung_Vu","Kaige_Yang",1
"Hoang_Dung_Vu","Xiaoyan_Yang",1
"Hoang_Dung_Vu","Zhenjie_Zhang",1
"Kok-Soon_Chai","Bryan_Keating",1
"Kok-Soon_Chai","Nurislam_Tursynbek",1
"Kok-Soon_Chai","Boyan_Xu",1
"Kok-Soon_Chai","Kaige_Yang",1
"Kok-Soon_Chai","Xiaoyan_Yang",1
"Kok-Soon_Chai","Zhenjie_Zhang",1
"Bryan_Keating","Nurislam_Tursynbek",1
"Bryan_Keating","Boyan_Xu",1
"Bryan_Keating","Kaige_Yang",1
"Bryan_Keating","Xiaoyan_Yang",1
"Bryan_Keating","Zhenjie_Zhang",1
"Nurislam_Tursynbek","Boyan_Xu",1
"Nurislam_Tursynbek","Kaige_Yang",1
"Nurislam_Tursynbek","Xiaoyan_Yang",1
"Nurislam_Tursynbek","Zhenjie_Zhang",1
"Boyan_Xu","Kaige_Yang",1
"Boyan_Xu","Xiaoyan_Yang",1
"Boyan_Xu","Zhenjie_Zhang",1
"Kaige_Yang","Xiaoyan_Yang",1
"Kaige_Yang","Zhenjie_Zhang",1
"Xiaoyan_Yang","Zhenjie_Zhang",1
"Jundong_Li","Harsh_Dani",1
"Jundong_Li","Xia_Hu",1
"Jundong_Li","Jiliang_Tang",2
"Jundong_Li","Yi_Chang_0001",2
"Jundong_Li","Huan_Liu_0001",2
"Harsh_Dani","Xia_Hu",1
"Harsh_Dani","Jiliang_Tang",1
"Harsh_Dani","Yi_Chang_0001",1
"Harsh_Dani","Huan_Liu_0001",1
"Xia_Hu","Jiliang_Tang",1
"Xia_Hu","Yi_Chang_0001",1
"Xia_Hu","Huan_Liu_0001",4
"Jiliang_Tang","Yi_Chang_0001",3
"Jiliang_Tang","Huan_Liu_0001",3
"Yi_Chang_0001","Huan_Liu_0001",1
"Marco_Cristo","Raíza_Hanada",1
"Marco_Cristo","André_Luiz_da_Costa_Carvalho",1
"Marco_Cristo","Fernando_Anglada_Lores",1
"Marco_Cristo","Maria_da_Graça_Campos_Pimentel",1
"Raíza_Hanada","André_Luiz_da_Costa_Carvalho",1
"Raíza_Hanada","Fernando_Anglada_Lores",1
"Raíza_Hanada","Maria_da_Graça_Campos_Pimentel",1
"André_Luiz_da_Costa_Carvalho","Fernando_Anglada_Lores",1
"André_Luiz_da_Costa_Carvalho","Maria_da_Graça_Campos_Pimentel",1
"Fernando_Anglada_Lores","Maria_da_Graça_Campos_Pimentel",1
"Yuxiang_Zhang","Yaocheng_Chang",1
"Yuxiang_Zhang","Xiaoqing_Liu",1
"Yuxiang_Zhang","Sujatha_Das_Gollapalli",1
"Yuxiang_Zhang","Xiaoli_Li_0001",1
"Yuxiang_Zhang","Chunjing_Xiao",1
"Yaocheng_Chang","Xiaoqing_Liu",1
"Yaocheng_Chang","Sujatha_Das_Gollapalli",1
