Haolan_Chen,Di_Niu,Kunfeng_Lai,Yu_Xu,Masoud_Ardakani
Dimitrios_Rafailidis,Fabio_Crestani
Myungha_Jang,John_Foley,Shiri_Dori-Hacohen,James_Allan
Tomasz_Kusmierczyk,Kjetil_Nørvåg
Seong-Ping_Chuah,Huayu_Wu_0001,Yu_Lu_0003,Liang_Yu,Stéphane_Bressan
Minwei_Feng,Bing_Xiang,Bowen_Zhou
Ragunathan_Mariappan,Balaji_Peddamuthu,Preethi_R._Raajaratnam,Sandipan_Dandapat,Neeta_Pande,Shourya_Roy
Lei_Shi_0002,Hanghang_Tong,Chaoli_Wang_0001,Leman_Akoglu
Dongwoo_Kim_0002,Lexing_Xie,Cheng_Soon_Ong
Lei_Zhang_0034,Michael_Färber_0001,Achim_Rettinger
Sangwoo_Kim,Jake_Y._Chen,Vincenzo_Cutello,Doheon_Lee
Md._Saiful_Islam_0003,Chengfei_Liu,J._Wenny_Rahayu,Tarique_Anwar
Mostafa_Dehghani_0001,Hosein_Azarbonyad,Jaap_Kamps,Djoerd_Hiemstra,Maarten_Marx
Simon_Razniewski
Jarana_Manotumruksa,Craig_MacDonald,Iadh_Ounis
Wenjie_Ruan,Peipei_Xu,Quan_Z._Sheng,Nguyen_Khoi_Tran_0001,Nickolas_J._G._Falkner,Xue_Li_0001,Wei_Emma_Zhang
Chengyu_Wang_0001,Rong_Zhang_0002,Xiaofeng_He,Aoying_Zhou
Cheng_Chen_0019,Fang_Dong,Kui_Wu_0001,Venkatesh_Srinivasan_0001,Alex_Thomo
Saar_Kuzi,Anna_Shtok,Oren_Kurland
Jiangfeng_Zeng,Ke_Zhou_0001,Xiao_Ma,Fuhao_Zou,Hua_Wang_0008
Yuli_Liu,Yiqun_Liu_0001,Ke_Zhou_0003,Min_Zhang_0006,Shaoping_Ma,Yue_Yin,Hengliang_Luo
Yong-Yeon_Jo,Jiwon_Hong,Myung-Hwan_Jang,Jae-Geun_Bang,Sang-Wook_Kim
Niels_Dalum_Hansen,Christina_Lioma,Kåre_Mølbak
Yuki_Yano,Yukihiro_Tagami,Akira_Tajima
Kelsey_Suyehira,Francesca_Spezzano
Zhongfang_Zhuang,Chuan_Lei,Elke_A._Rundensteiner,Mohamed_Y._Eltabakh
Wei_Wang_0064,Yue_Ning,Huzefa_Rangwala,Naren_Ramakrishnan
Zhan_Li,Olga_Papaemmanouil,Mitch_Cherniack
Sandipan_Sikdar,Matteo_Marsili,Niloy_Ganguly,Animesh_Mukherjee_0001
Qi_Zhang_0001,Yeyun_Gong,Jindou_Wu,Haoran_Huang,Xuanjing_Huang
Aleksandr_Chuklin,Maarten_de_Rijke
Kan_Ren,Weinan_Zhang_0001,Yifei_Rong,Haifeng_Zhang_0002,Yong_Yu_0001,Jun_Wang_0012
Shaojie_Tang,Jing_Yuan_0002
Weize_Kong,James_Allan
Zhaochun_Ren,Oana_Inel,Lora_Aroyo,Maarten_de_Rijke
Rakesh_Agrawal_0001
Elham_Shaabani,Hamidreza_Alvari,Paulo_Shakarian,J._E._Kelly_Snyder
Hengfeng_Li,Lars_Kulik,Kotagiri_Ramamohanarao
Tong_Zhao_0002,Irwin_King
Jiongqian_Liang,Srinivasan_Parthasarathy_0001
Paris_Carbone,Jonas_Traub,Asterios_Katsifodimos,Seif_Haridi,Volker_Markl
Hagit_Grushka-Cohen,Oded_Sofer,Ofer_Biller,Bracha_Shapira,Lior_Rokach
Feifan_Fan,Yansong_Feng,Lili_Yao,Dongyan_Zhao_0001
Yiu-ming_Cheung,Jian_Lou_0001
Chong_Wang,Achir_Kalra,Cristian_Borcea,Yi_Chen_0001
Takuya_Akiba,Yosuke_Yano,Naoto_Mizuno
Fuzhen_Zhuang,Ping_Luo_0001,Sinno_Jialin_Pan,Hui_Xiong_0001,Qing_He_0003
Kashyap_Popat,Subhabrata_Mukherjee,Jannik_Strötgen,Gerhard_Weikum
Piyush_Bansal,Carsten_Eickhoff,Thomas_Hofmann
Tuan-Anh_Hoang-Vu,Huy_T._Vo,Juliana_Freire
Ting_Hua,Xuchao_Zhang,Wei_Wang_0064,Chang-Tien_Lu,Naren_Ramakrishnan
Matthew_Ekstrand-Abueg,Richard_McCreadie,Virgil_Pavlu,Fernando_Diaz_0001
Pengfei_Li,Mark_Sanderson,Mark_James_Carman,Falk_Scholer
