Bingning_Wang,Kang_Liu_0001,Jun_Zhao_0001
Dalin_Zhang,Lina_Yao,Kaixuan_Chen,Sen_Wang_0001
Han_Guo,Juan_Cao,Yazi_Zhang,Junbo_Guo,Jintao_Li
Andrés_Muñoz_Medina,Sergei_Vassilvitskii,Dong_Yin
Junqi_Zhang,Yiqun_Liu_0001,Shaoping_Ma,Qi_Tian
Zhuoren_Jiang,Liangcai_Gao,Ke_Yuan,Zheng_Gao,Zhi_Tang,Xiaozhong_Liu
Tiezheng_Ge,Liqin_Zhao,Guorui_Zhou,Keyu_Chen,Shuying_Liu,Huiming_Yi,Zelin_Hu,Bochao_Liu,Peng_Sun,Haoyu_Liu,Pengtao_Yi,Sui_Huang,Zhiqiang_Zhang_0011,Xiaoqiang_Zhu,Yu_Zhang,Kun_Gai
Nicola_Ferro_0001,Claudio_Lucchese,Maria_Maistro,Raffaele_Perego_0001
Hongtao_Wang_0002,Pan_Su,Miao_Zhao,Hongmei_Wang,Gang_Li
Mohammad_Aliannejadi,Hamed_Zamani,Fabio_Crestani,W._Bruce_Croft
Kan_Ren,Yuchen_Fang,Weinan_Zhang_0001,Shuhao_Liu,Jiajun_Li,Ya_Zhang,Yong_Yu_0001,Jun_Wang_0012
Chen_Ma,Yingxue_Zhang,Qinglong_Wang,Xue_Liu_0001
Zafar_Habeeb_Syed,Michael_Röder,Axel-Cyrille_Ngonga_Ngomo
Tadele_Tedla_Damessie,J._Shane_Culpepper,Jaewon_Kim,Falk_Scholer
Rohan_Ramanath,Hakan_Inan,Gungor_Polatkan,Bo_Hu,Qi_Guo,Cagri_Ozcaglar,Xianren_Wu,Krishnaram_Kenthapadi,Sahin_Cem_Geyik
Harrie_Oosterhuis,Maarten_de_Rijke
Ellen_M._Voorhees
Ardavan_Afshar,Ioakeim_Perros,Evangelos_E._Papalexakis,Elizabeth_Searles,Joyce_C._Ho,Jimeng_Sun
Konstantina_Bereta,Manolis_Koubarakis,Stefan_Manegold,George_Stamoulis,Begüm_Demir
Çigdem_Aslay,Muhammad_Anis_Uddin_Nasir,Gianmarco_De_Francisci_Morales,Aristides_Gionis
Vachik_S._Dave,Baichuan_Zhang,Mohammad_Al_Hasan,Khalifeh_AlJadda,Mohammed_Korayem
Sahin_Cem_Geyik,Vijay_Dialani,Meng_Meng,Ryan_Smith
Paolo_Ciaccia,Davide_Martinenghi
Varvara_Kalokyri,Alexander_Borgida,Amélie_Marian
Prayag_Tiwari,Massimo_Melucci
Lucio_F._D._Santos,Gustavo_Blanco,Daniel_de_Oliveira_0001,Agma_J._M._Traina,Caetano_Traina_Jr.,Marcos_V._N._Bedo
Cheng_Cao,Zhengzhang_Chen,James_Caverlee,Lu-An_Tang,Chen_Luo,Zhichun_Li
Edward_Raff,Jared_Sylvester,Charles_Nicholas
Zhitao_Wang,Chengyao_Chen,Wenjie_Li_0002
Xiaofei_Zhu,Khoi_Duy_Vo,Jiafeng_Guo,Jiangwu_Long
Weijie_Zhu,Chen_Chen_0017,Xiaoyang_Wang_0002,Xuemin_Lin_0001
Negar_Arabzadeh,Hossein_Fani,Fattane_Zarrinkalam,Ahmed_Navivala,Ebrahim_Bagheri
Meng-Fen_Chiang,Ee-Peng_Lim,Wang-Chien_Lee,Tuan-Anh_Hoang
Michalis_Vazirgiannis,Fragkiskos_D._Malliaros,Giannis_Nikolentzos
Libing_Wu,Cong_Quan,Chenliang_Li,Donghong_Ji
Yongshun_Gong,Zhibin_Li_0002,Jian_Zhang_0002,Wei_Liu_0007,Yu_Zheng,Christina_Kirsch
Yan_Xiao,Jiafeng_Guo,Yanyan_Lan,Jun_Xu_0001,Xueqi_Cheng
Yuxin_Su,Michael_R._Lyu,Irwin_King
Dhruv_Khattar,Vaibhav_Kumar,Vasudeva_Varma,Manish_Gupta_0001
Pooja_A,Naveen_Nair,Rajeev_Rastogi
Yongfeng_Zhang,Xu_Chen_0017,Qingyao_Ai,Liu_Yang_0005,W._Bruce_Croft
Ying_Lin,Zhengzhang_Chen,Cheng_Cao,Lu-An_Tang,Kai_Zhang_0001,Wei_Cheng_0002,Zhichun_Li
Shaoyun_Shi,Min_Zhang_0006,Yiqun_Liu_0001,Shaoping_Ma
Yoelle_Maarek
Jiajing_Zhu,Yongguo_Liu,Shangming_Yang,Shuangqing_Zhai,Zhang_Yi_0001,Chuanbiao_Wen
Renqin_Cai,Xueying_Bai,Zhenrui_Wang,Yuling_Shi,Parikshit_Sondhi,Hongning_Wang
Mengting_Wan,Di_Wang,Jie_Liu_0001,Paul_Bennett,Julian_J._McAuley
Tobias_Backes
